Time,LAFmx,LAFmn,LAeq,LCpk
14:09:04,90.9,73.8,82.1,118.2 
14:09:14,88.6,74.7,83.5,115.6 
14:09:24,87.0,73.0,80.4,115.6 
14:09:34,79.0,60.3,70.7,107.2 
14:09:44,83.2,64.4,73.6,111.9 
14:09:54,77.1,63.2,72.0,106.5 
14:10:04,75.1,59.1,69.0,101.7 
14:10:14,77.6,59.9,72.3,108.8 
14:10:24,80.7,61.2,75.2,110.6 
14:10:34,100.4,57.9,89.9,115.9 
14:10:44,77.4,64.7,73.3,99.7 
14:10:54,79.5,68.9,75.0,107.4 
14:11:04,75.9,62.8,72.4,101.0 
14:11:14,82.2,59.3,68.2,101.6 
14:11:24,69.2,56.4,61.0,85.4 
14:11:34,70.6,57.2,62.5,88.1 
14:11:44,74.0,62.2,69.0,88.8 
14:11:54,81.8,59.7,70.6,100.2 
14:12:04,95.8,63.2,82.2,121.6 
14:12:14,78.2,61.8,69.7,104.3 
14:12:24,80.6,61.6,72.4,108.4 
14:12:34,91.0,75.2,85.7,117.0 
14:12:44,96.1,84.3,89.9,122.1 
14:12:54,97.0,83.5,91.7,123.2 
14:13:04,93.7,79.9,86.8,116.9 
14:13:14,85.7,65.8,75.9,110.9 
14:13:24,73.0,61.0,65.2,101.1 
14:13:34,75.9,63.3,69.4,97.9 
14:13:44,71.7,64.3,67.2,92.8 
14:13:54,77.3,67.7,71.9,93.9 
14:14:04,75.8,61.8,69.7,91.8 
14:14:14,62.7,59.0,60.7,83.8 
14:14:24,68.5,59.7,61.8,95.5 
14:14:34,80.8,58.9,67.7,102.0 
14:14:44,68.5,57.1,60.0,96.8 
14:14:54,65.5,59.0,61.7,96.0 
14:15:04,74.2,59.5,69.0,97.8 
14:15:14,75.6,66.9,71.2,93.7 
