Longitude, Latitude, CO2
-80.008556,40.445585,114
-80.008555999999,40.445585000001,110
-80.008555999999,40.445585000001,110
-80.008555999998,40.445585000001,114
-80.008555999998,40.445585000002,112
-80.008555999997,40.445585000002,110
-80.008555999996,40.445585000003,114
-80.008555999996,40.445585000003,116
-80.008555999995,40.445585000003,118
-80.008555999995,40.445585000004,118
-80.008555999994,40.445585000004,120
-80.008555999994,40.445585000004,122
-80.008555999993,40.445585000005,122
-80.008555999992,40.445585000005,114
-80.008555999992,40.445585000006,110
-80.008555999991,40.445585000006,106
-80.008555999991,40.445585000006,104
-80.00855599999,40.445585000007,100
-80.00855599999,40.445585000007,100
-80.008555999989,40.445585000008,98
-80.008555999989,40.445585000008,96
-80.008555999988,40.445585000008,98
-80.008555999987,40.445585000009,96
-80.008555999987,40.445585000009,96
-80.008555999986,40.44558500001,98
-80.008555999986,40.44558500001,94
-80.008555999985,40.44558500001,92
-80.008555999985,40.445585000011,100
-80.008591,40.445478,98
-80.008325999999,40.445481,92
-80.008175,40.445506,96
-80.007974999999,40.445532,80
-80.007680999999,40.44556,84
-80.007287999997,40.44562,82
-80.006713,40.445685,80
-80.006385999999,40.445793,78
-80.005996999998,40.445862,80
-80.005724999999,40.445905,78
-80.005445999999,40.445936,78
-80.005176999998,40.445997,78
-80.004722999998,40.446083,76
-80.004431999999,40.446247000001,80
-80.004102999998,40.446381000001,78
-80.00423,40.446502,76
-80.004063,40.446561,74
-80.004147,40.446576,74
-80.004081,40.446608,74
-80.004316000001,40.446575,70
-80.003999,40.446724,70
-80.003844,40.446822,72
-80.003674,40.446384,76
-80.003464999999,40.445826999998,82
-80.003281,40.445332999999,92
-80.003074,40.444761999999,92
-80.002894,40.444347999999,96
-80.002851,40.444197,142
-80.003819000004,40.441692999989,146
-80.003819000012,40.441692999968,156
-80.00381900002,40.441692999947,156
-80.003819000029,40.441692999926,160
-80.003819000037,40.441692999905,166
-80.003819000045,40.441692999884,166
-80.003819000053,40.441692999862,162
-80.003819000061,40.441692999841,166
-80.00381900007,40.44169299982,168
-80.003819000078,40.441692999799,176
-80.003819000086,40.441692999778,182
-80.003819000094,40.441692999756,180
-80.003819000102,40.441692999735,182
-80.003819000111,40.441692999714,174
-80.003819000119,40.441692999693,168
-80.003819000127,40.441692999672,162
-80.003854,40.44164,152
-80.002880999993,40.437197999966,148
-80.002880999984,40.437197999929,146
-80.002880999976,40.437197999891,152
-80.002880999968,40.437197999853,162
-80.00288099996,40.437197999816,164
-80.002880999951,40.437197999778,158
-80.002880999943,40.437197999741,158
-80.001194999986,40.43835200001,138
-80.001194999971,40.43835200002,132
-80.000151999995,40.437923999998,128
-80.000515000001,40.437313999999,130
-80.000788000001,40.436867999998,130
-80.000788000003,40.436867999995,128
-80.001361000001,40.436078999999,132
-80.001762,40.435536,136
-80.001762000004,40.435535999995,142
-80.002499000006,40.434416999991,142
-80.002499000012,40.434416999982,140
-80.002868000002,40.433827999997,128
-80.003238000002,40.433255999997,126
-80.003547000002,40.432730999996,122
-80.002695999999,40.431516999999,122
-80.00269599999,40.431516999992,124
-80.002695999981,40.431516999984,124
-80.002695999972,40.431516999976,126
-80.002695999964,40.431516999968,124
-80.002695999955,40.431516999961,126
-80.002695999946,40.431516999953,124
-80.002695999937,40.431516999945,136
-80.000996999996,40.430653999998,142
-79.999344999998,40.430101999999,154
-79.99934499999,40.430101999997,152
-79.998317999992,40.429749999997,152
-79.997413999996,40.429407999999,150
-79.996463999992,40.429058999997,160
-79.995407999996,40.428761999999,172
-79.995407999987,40.428761999996,164
-79.994571999994,40.428575999999,160
-79.991161999999,40.428586,144
-79.990412999999,40.428611,142
-79.989513999997,40.428628,132
-79.988911999998,40.428632,126
-79.988211999998,40.428636,126
-79.987682999998,40.428662,122
-79.987162999997,40.428658,118
-79.986495999996,40.428738,120
-79.98649599999,40.428738000001,124
